"sample","sex"
"NA18486","male"
"NA18498","male"
"NA18499","female"
"NA18501","male"
"NA18504","male"
"NA18507","male"
"NA18508","female"
"NA18520","female"
"NA18522","male"
"NA18853","male"
"NA18855","female"
"NA18862","male"
"NA18909","female"
"NA18913","male"
"NA19098","male"
"NA19099","female"
"NA19114","female"
"NA19116","female"
"NA19127","female"
"NA19144","male"
"NA19159","female"
"NA19160","male"
"NA19190","female"
"NA19193","female"
"NA19200","male"
"NA19201","female"
"NA19204","female"
"NA19210","male"
"NA19238","female"
"NA19239","male"
